Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 91.00     11.53    11.53        5     2.31     2.51  Vtb___024root___nba_sequent__TOP__1__PROF__performance_degrade__l65(Vtb___024root*)
  3.08     11.92     0.39 41943050     0.00     0.00  _vl_vsformat(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char const*, __va_list_tag*)
  2.92     12.29     0.37 41944635     0.00     0.00  VerilatedContextImp::fdToFpList(unsigned int)
  0.95     12.41     0.12 41943030     0.00     0.00  VerilatedContextImp::fdWrite(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.87     12.52     0.11 41943030     0.00     0.00  VL_FWRITEF(unsigned int, char const*, ...)
  0.32     12.56     0.04 41944635     0.00     0.00  VerilatedFpList::push_back(_IO_FILE*)
  0.08     12.57     0.01  9765640     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.08     12.58     0.01                             std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > _vl_vsformat_time<double>(char*, double, int, bool, unsigned long)
  0.00     12.58     0.00 125832572     0.00     0.00  std::_Function_handler<void (), VL_FINISH_MT(char const*, int, char const*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     12.58     0.00 41944848     0.00     0.00  VerilatedMutex::lock()
  0.00     12.58     0.00 41944817     0.00     0.00  VerilatedLockGuard::~VerilatedLockGuard()
  0.00     12.58     0.00 41944667     0.00     0.00  Verilated::threadContextp()
  0.00     12.58     0.00    11030     0.00     0.00  _vl_vsss_peek(_IO_FILE*, int&, unsigned int const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     12.58     0.00     8635     0.00     0.00  _vl_vsss_advance(_IO_FILE*, int&)
  0.00     12.58     0.00     1605     0.00     0.00  VL_CVT_I_FP(unsigned int)
  0.00     12.58     0.00     1605     0.00     0.00  VerilatedContextImp::fdToFp(unsigned int)
  0.00     12.58     0.00     1595     0.00     0.00  _vl_vsss_skipspace(_IO_FILE*, int&, unsigned int const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     12.58     0.00     1169     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00     12.58     0.00      840     0.00     0.00  _vl_vsss_read_str(_IO_FILE*, int&, unsigned int const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char*, char const*) [clone .constprop.0]
  0.00     12.58     0.00      822     0.00     0.00  std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> >::clear()
  0.00     12.58     0.00      800     0.00     0.00  _vl_vsscanf(_IO_FILE*, int, unsigned int const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*, __va_list_tag*)
  0.00     12.58     0.00      800     0.00     0.00  VL_FSCANF_IX(unsigned int, char const*, ...)
  0.00     12.58     0.00      732     0.00     0.00  VlTriggerScheduler::commit(char const*)
  0.00     12.58     0.00      458     0.00     0.00  VlTriggerVec<4ul>::clear()
  0.00     12.58     0.00      366     0.00     0.00  Vtb___024root___timing_commit(Vtb___024root*)
